,problem_state,thoughts,acc
28,[ 3  7 11 11],"[['/', 11, 11], ['+', 1, 7], ['*', 3, 8]]",True
29,[3 7 8 9],"[['+', 7, 9], ['-', 16, 8], ['*', 3, 8]]",True
30,[ 1  4 12 12],"[['-', 4, 1], ['*', 3, 12], ['-', 36, 12]]",True
31,[4 5 5 6],"[['-', 5, 6], ['-', 5, -1], ['*', 4, 6]]",True
32,[ 2  3  6 12],"[['+', 6, 12], ['*', 2, 3], ['+', 6, 18]]",True
33,[1 3 6 7],"[['-', 7, 1], ['*', 3, 6], ['+', 6, 18]]",True
34,[ 3  9 10 12],"[['-', 10, 9], ['-', 3, 1], ['*', 2, 12]]",True
35,[3 4 7 9],"[['*', 3, 9], ['-', 27, 7], ['+', 4, 20]]",True
36,[ 4  8 10 11],"[['-', 11, 10], ['-', 4, 1], ['*', 3, 8]]",True
37,[6 8 8 9],"[['*', 6, 8], ['*', 8, 9], ['-', 72, 48]]",True
38,[ 6  8 11 13],"[['+', 11, 13], ['*', 6, 8], ['-', 48, 24]]",True
39,[ 5  8 11 13],"[['-', 13, 5], ['-', 11, 8], ['*', 3, 8]]",True
40,[ 5  7 12 12],"[['*', 7, 12], ['*', 5, 12], ['-', 84, 60]]",True
41,[2 2 2 5],"[['*', 2, 5], ['+', 2, 10], ['*', 2, 12]]",True
42,[ 1  6  7 12],"[['+', 6, 7], ['-', 13, 1], ['+', 12, 12]]",True
43,[2 2 7 8],"[['*', 2, 7], ['+', 2, 8], ['+', 10, 14]]",True
44,[ 4  7  8 11],"[['-', 11, 7], ['*', 4, 4], ['+', 8, 16]]",True
45,[4 4 5 6],"[['*', 4, 6], ['-', 5, 4], ['/', 24, 1]]",True
46,[2 5 6 6],"[['-', 5, 2], ['*', 3, 6], ['+', 6, 18]]",True
47,[1 3 8 9],"[['/', 9, 3], ['/', 3, 1], ['*', 3, 8]]",True
48,[ 4  7  7 11],"[['-', 11, 7], ['*', 4, 7], ['-', 28, 4]]",True
49,[2 3 3 6],"[['*', 3, 6], ['*', 2, 3], ['+', 6, 18]]",True
50,[ 2  4  9 13],"[['+', 4, 9], ['-', 13, 2], ['+', 11, 13]]",True
51,[ 3  7  9 13],"[['*', 3, 13], ['*', 7, 9], ['-', 63, 39]]",True
52,[ 5 10 10 13],"[['-', 13, 10], ['+', 3, 5], ['+', 8, 10]]",False
53,[ 1  7 10 12],"[['/', 7, 12], ['-', 1, 0.5833333333333334], ['/', 10, 0.41666666666666663]]",True
54,[ 5  5 11 13],"[['-', 11, 5], ['+', 5, 6], ['+', 11, 13]]",True
55,[ 1  4  7 12],"[['+', 1, 7], ['+', 4, 8], ['+', 12, 12]]",True
56,[3 5 6 9],"[['+', 5, 6], ['*', 3, 11], ['-', 33, 9]]",True
57,[1 4 4 5],"[['*', 4, 5], ['/', 4, 1], ['+', 4, 20]]",True
58,[ 4  4  7 13],"[['*', 4, 7], ['*', 4, 13], ['-', 52, 28]]",True
59,[ 1  5 11 11],"[['-', 11, 1], ['+', 5, 10], ['+', 11, 15]]",False
60,[ 4 11 12 13],"[['-', 13, 11], ['-', 4, 2], ['*', 2, 12]]",True
61,[2 2 5 8],"[['+', 5, 8], ['*', 2, 13], ['-', 26, 2]]",True
62,[ 7  9 13 13],"[['-', 9, 7], ['-', 13, 2], ['+', 11, 13]]",True
63,[2 3 7 8],"[['+', 2, 7], ['/', 3, 8], ['/', 9, 0.375]]",True
64,[1 2 5 8],"[['-', 5, 2], ['*', 1, 8], ['*', 3, 8]]",True
65,[10 11 12 13],"[['-', 11, 10], ['-', 13, 1], ['+', 12, 12]]",True
66,[ 3  3  9 12],"[['*', 3, 12], ['+', 3, 9], ['-', 36, 12]]",True
67,[ 3  7  9 10],"[['*', 3, 9], ['-', 27, 10], ['+', 7, 17]]",True
68,[ 2  3  3 12],"[['-', 3, 3], ['-', 2, 0], ['*', 2, 12]]",True
69,[ 1  3 10 11],"[['*', 1, 3], ['+', 3, 10], ['+', 11, 13]]",True
70,[3 3 6 8],"[['/', 3, 8], ['+', 3, 6], ['/', 9, 0.375]]",True
71,[ 7  7 11 13],"[['-', 11, 7], ['+', 4, 7], ['+', 11, 13]]",True
72,[ 7  8  8 13],"[['+', 8, 13], ['/', 7, 8], ['/', 21, 0.875]]",True
73,[ 3  9  9 13],"[['-', 13, 9], ['-', 9, 3], ['*', 4, 6]]",True
74,[ 3  3  8 10],"[['+', 3, 8], ['+', 3, 10], ['+', 11, 13]]",True
75,[ 1  1  3 13],"[['-', 13, 1], ['-', 3, 1], ['*', 2, 12]]",True
76,[ 1  6 12 13],"[['-', 13, 1], ['/', 6, 12], ['/', 12, 0.5]]",True
77,[ 6  6  9 13],"[['*', 6, 13], ['*', 6, 9], ['-', 78, 54]]",True
78,[ 1  7 13 13],"[['-', 13, 1], ['+', 7, 12], ['+', 13, 19]]",False
79,[ 2  9 12 13],"[['-', 13, 9], ['-', 4, 2], ['*', 2, 12]]",True
80,[1 3 7 9],"[['+', 1, 7], ['/', 3, 9], ['/', 8, 0.3333333333333333]]",True
81,[3 3 5 7],"[['*', 3, 5], ['-', 15, 7], ['*', 3, 8]]",True
82,[ 3  6 11 11],"[['/', 6, 3], ['+', 2, 11], ['+', 11, 13]]",True
83,[ 2  9 10 10],"[['/', 10, 2], ['+', 5, 9], ['+', 10, 14]]",True
84,[1 3 4 7],"[['*', 3, 7], ['-', 4, 1], ['+', 3, 21]]",True
85,[ 5  8 11 12],"[['/', 8, 12], ['+', 5, 11], ['/', 16, 0.6666666666666666]]",True
86,[1 8 8 8],"[['+', 8, 8], ['/', 16, 1], ['+', 8, 16]]",True
87,[ 3  7 12 13],"[['/', 12, 3], ['+', 4, 7], ['+', 11, 13]]",True
88,[ 3  9 12 12],"[['/', 12, 3], ['*', 4, 9], ['-', 36, 12]]",True
89,[3 4 5 7],"[['*', 3, 4], ['+', 5, 7], ['+', 12, 12]]",True
90,[ 2 11 11 13],"[['-', 13, 11], ['*', 2, 11], ['+', 2, 22]]",True
91,[ 1  6 11 12],"[['/', 6, 12], ['+', 1, 11], ['/', 12, 0.5]]",True
92,[ 3  4  6 11],"[['+', 4, 6], ['+', 3, 10], ['+', 11, 13]]",True
93,[ 1  3 10 10],"[['+', 1, 3], ['+', 4, 10], ['+', 10, 14]]",True
94,[5 5 6 7],"[['*', 5, 7], ['+', 5, 6], ['-', 35, 11]]",True
95,[ 3  4  7 11],"[['-', 11, 7], ['+', 4, 4], ['*', 3, 8]]",True
96,[ 4  5  6 12],"[['/', 5, 12], ['+', 4, 6], ['/', 10, 0.4166666666666667]]",True
97,[ 5  6 10 13],"[['-', 13, 5], ['+', 6, 8], ['+', 10, 14]]",True
98,[ 4  4 10 10],"[['*', 10, 10], ['-', 100, 4], ['/', 96, 4]]",True
99,[ 2  3  7 13],"[['*', 2, 7], ['-', 14, 3], ['+', 11, 13]]",True
100,[ 6  8 11 11],"[['-', 11, 6], ['+', 5, 8], ['+', 11, 13]]",True
101,[ 5  6  6 10],"[['-', 10, 5], ['*', 5, 6], ['-', 30, 6]]",True
102,[ 6  6  6 11],"[['-', 11, 6], ['*', 5, 6], ['-', 30, 6]]",True
103,[ 1  2 10 13],"[['+', 2, 10], ['-', 13, 1], ['+', 12, 12]]",True
104,[ 8 10 12 13],"[['-', 13, 8], ['/', 5, 10], ['/', 12, 0.5]]",True
105,[ 2  2 10 11],"[['*', 2, 11], ['-', 22, 10], ['*', 2, 12]]",True
106,[ 2  2  5 11],"[['*', 2, 2], ['-', 11, 5], ['*', 4, 6]]",True
107,[ 5  7 13 13],"[['-', 13, 7], ['+', 5, 6], ['+', 11, 13]]",True
108,[ 2  2  6 11],"[['-', 11, 2], ['*', 2, 9], ['+', 6, 18]]",True
109,[ 6  9 11 12],"[['-', 11, 9], ['*', 2, 6], ['+', 12, 12]]",True
110,[2 6 8 8],"[['+', 2, 8], ['+', 6, 8], ['+', 10, 14]]",True
111,[1 2 4 5],"[['-', 1, 5], ['-', 2, -4], ['*', 4, 6]]",True
112,[1 2 6 8],"[['/', 2, 8], ['/', 1, 0.25], ['*', 4, 6]]",True
113,[1 2 4 8],"[['*', 1, 4], ['-', 8, 2], ['*', 4, 6]]",True
114,[3 5 5 6],"[['+', 5, 5], ['*', 3, 10], ['-', 30, 6]]",True
115,[1 2 2 5],"[['+', 1, 5], ['+', 2, 2], ['*', 4, 6]]",True
116,[ 3  8  9 10],"[['-', 8, 3], ['+', 5, 10], ['+', 9, 15]]",True
117,[2 5 8 8],"[['*', 5, 8], ['*', 2, 8], ['-', 40, 16]]",True
118,[4 5 7 8],"[['+', 4, 7], ['+', 5, 8], ['+', 11, 13]]",True
119,[ 4  5  7 11],"[['-', 11, 7], ['*', 4, 5], ['+', 4, 20]]",True
120,[ 5  6 13 13],"[['/', 13, 13], ['-', 5, 1], ['*', 4, 6]]",True
121,[ 1  5 10 13],"[['-', 13, 1], ['/', 5, 10], ['/', 12, 0.5]]",True
122,[ 5  6  7 13],"[['+', 5, 13], ['*', 6, 7], ['-', 42, 18]]",True
123,[2 4 5 9],"[['+', 2, 4], ['-', 9, 5], ['*', 4, 6]]",True
124,[2 3 6 7],"[['/', 2, 6], ['/', 7, 0.3333333333333333], ['+', 3, 21]]",True
125,[ 1  7 12 12],"[['-', 7, 1], ['/', 6, 12], ['/', 12, 0.5]]",True
126,[5 6 6 9],"[['*', 5, 6], ['*', 6, 9], ['-', 54, 30]]",True
127,[ 1  3  5 10],"[['*', 3, 5], ['-', 15, 1], ['+', 10, 14]]",True
128,[ 6 10 10 13],"[['-', 13, 10], ['*', 3, 10], ['-', 30, 6]]",True
129,[ 2  8 11 12],"[['-', 12, 11], ['+', 1, 2], ['*', 3, 8]]",True
130,[ 1  2 10 11],"[['+', 1, 2], ['+', 10, 11], ['+', 3, 21]]",True
131,[ 3  5  6 12],"[['-', 6, 5], ['-', 3, 1], ['*', 2, 12]]",True
132,[ 1 10 11 12],"[['-', 12, 10], ['+', 1, 11], ['*', 2, 12]]",True
133,[4 4 4 7],"[['/', 4, 4], ['-', 7, 1], ['*', 4, 6]]",True
134,[ 3  8 10 11],"[['-', 11, 10], ['*', 1, 3], ['*', 3, 8]]",True
135,[ 6  6  7 10],"[['-', 10, 7], ['*', 3, 6], ['+', 6, 18]]",True
136,[ 3  6  9 11],"[['-', 9, 11], ['-', 6, -2], ['*', 3, 8]]",True
